,rallyid,x,y,frame
4,1,8.04,9.93,22285
13,1,6.65,8.67,22376
31,2,3.3,9.14,23545
40,2,7.01,3.11,23672
49,2,6.08,9.89,23756
55,3,6.76,8.71,24970
69,4,2.46,9.4,26216
88,6,6.44,7.08,29586
103,8,4.95,8.43,31166
113,9,6.03,8.09,32211
128,11,3.97,8.54,33642
146,12,1.87,17.96,35393
156,13,6.41,18.74,36504
166,14,1.79,18.12,37322
175,14,4.8,19.43,37465
180,14,1.56,6.37,37529
195,16,6.87,18.9,39439
205,17,4.69,17.85,40614
215,18,1.29,17.8,45292
227,20,7.79,19.23,47023
237,21,1.68,17.8,48187
247,22,8.08,18.47,49345
266,24,4.04,18.35,51070
293,26,8.6,17.42,53219
308,28,9.11,7.46,55889
323,30,7.24,5.95,59188
331,30,1.19,18.71,59260
341,30,7.78,7.98,59324
365,32,5.09,7.13,61668
380,34,8.23,7.98,66821
389,34,5.71,6.82,66924
398,34,1.34,7.38,67038
407,34,1.02,4.61,67136
416,34,2.15,8.16,67207
435,36,6.93,8.61,69220
459,39,2.77,16.7,72491
473,40,10.38,8.54,72639
500,42,7.53,16.2,74511
513,42,9.55,19.05,74604
523,43,3.91,17.62,75984
532,43,3.06,20.24,76105
541,43,6.99,19.5,76221
560,45,6.44,17.28,78157
575,47,3.95,18.35,83293
585,48,5.05,17.06,84512
590,48,7.95,17.74,85440
609,50,5.05,17.77,87272
636,52,7.56,17.04,89354
646,52,0.72,19.47,89466
664,54,4.44,16.68,91359
674,54,0.93,15.18,91472
695,55,6.55,7.8,93535
714,57,8.04,6.67,95670
737,59,4.67,7.54,97604
751,60,8.17,7.33,103128
770,62,3.03,6.83,104613
777,63,5.38,7.67,105626
782,63,10.06,20.26,105743
804,64,3.76,7.41,107043
812,64,12.42,15.15,107131
818,64,6.75,5.83,107179
832,65,6.93,6.59,108247
841,65,4.42,3.93,108353
850,65,4.64,6.01,108449
873,67,5.24,6.86,110068
883,68,2.83,15.73,111811
893,69,8.2,16.35,112717
907,70,4.95,16.3,113663
917,71,9.33,16.11,114575
933,73,7.93,17.42,121247
943,73,9.09,17.33,121318
952,74,5.51,18.25,122274
966,75,6.26,17.68,123612
975,75,2.35,19.81,123676
985,76,1.98,16.55,124819
999,77,9.81,5.75,126775
1005,78,8.2,7.49,127744
1024,80,6.95,18.48,129710
1044,83,4.08,18.1,132345
1058,84,6.41,6.38,133928
1068,85,8.92,6.53,135039
1077,85,5.78,10.76,135116
1087,86,8.17,20.1,136821
1106,88,5.69,7.53,140558
1125,90,6.83,16.59,143384
1139,91,2.06,15.6,145030
1155,94,3.85,9.54,147075
1164,94,1.72,4.91,147199
1173,94,7.76,5.58,147275
1182,94,4.52,4.78,147424
1200,95,5.82,6.05,149027
1209,95,5.06,8.72,149120
1219,96,6.41,16.67,150990
1228,96,7.23,20.29,151091
1244,99,4.27,18.1,158644
1258,100,8.81,16.12,159623
1267,100,4.82,18.01,159747
1281,101,3.01,16.85,160759
1296,103,7.35,18.48,161904
1306,104,4.51,17.85,162883
1315,104,9.04,21.1,163005
1324,104,7.78,21.97,163099
1333,104,10.6,14.07,163217
1352,106,3.4,19.54,166646
1362,107,8.56,18.72,167718
1376,108,1.66,17.64,168589
1385,108,2.93,23.11,168716
1395,109,8.34,17.74,169690
1410,111,3.02,16.1,171362
1429,113,6.31,5.51,173755
1439,114,8.61,4.19,173872
1458,116,3.65,8.15,176016
1472,117,8.57,7.56,177334
1486,118,5.21,7.54,178639
1496,119,5.17,6.69,179655
1506,120,5.4,7.67,185493
1521,122,3.09,8.79,187460
1539,123,6.56,9.01,188859
1548,123,8.66,26.3,188912
1554,124,1.66,9.3,190279
1560,125,8.43,8.12,191611
1574,126,4.97,9.85,192951
1584,127,4.58,9.69,194594
1594,127,6.59,7.39,194698
1606,127,9.97,2.42,194812
1615,127,7.19,25.41,194977
1620,127,6.34,5.84,195054
1625,127,7.27,29.13,195133
1635,128,5.24,21.03,197193
1649,129,8.71,19.73,198181
1663,130,3.94,17.6,199086
1673,131,6.41,18.14,199920
1692,133,3.47,18.01,201401
1702,133,4.03,20.13,201466
1716,134,2.29,18.48,206762
1725,134,10.4,18.02,206855
1744,136,5.89,17.53,208914
1758,137,3.34,18.08,210041
1776,138,6.04,17.38,211559
1790,139,8.72,6.94,213279
1804,140,4.31,9.23,214829
1818,141,5.9,8.21,216251
1827,141,6.34,8.12,216358
1847,144,6.72,7.29,220475
1856,144,2.64,2.76,220622
1869,144,5.87,16.61,220759
1882,144,9.22,8.26,220889
1892,145,3.49,7.46,223427
1897,145,8.27,19.76,223476
1916,147,2.83,6.62,225699
1926,148,7.1,6.46,231246
1946,151,3.03,8.7,234005
1955,151,10.69,5.05,234093
1969,152,8.57,8.65,235116
1978,152,9.13,5.42,235231
1988,153,2.85,9.2,236358
2007,155,4.92,17.86,238488
2025,156,6.68,17.84,240182
2046,156,5.36,8.53,240346
2070,159,6.31,19.0,244020
2080,160,4.82,18.24,245331
