,rallyid,server,winner,reason,strokes,totaltime,x,y,frameid,winner_team,score
0,1,Farah,Farah,winner,5.0,1.32,4.61,8.99,22451,Cabal/Farah,"0:0, 0:15"
1,2,Farah,Farah,winner,4.0,1.3999999999999986,6.62,4.5,23790,Cabal/Farah,"0:0, 0:30"
2,3,Farah,Lopez,winner,2.0,1.3599999999999994,7.52,23.26,25029,Lopez/Murray,"0:0, 15:30"
3,4,Farah,Farah,out,2.0,1.3200000000000216,0.05,20.45,26323,Cabal/Farah,"0:0, 15:40"
4,5,Farah,Farah,ace,1.0,0.0,6.1,8.14,27214,Cabal/Farah,"0:1, 0:0"
5,6,Lopez,Lopez,out,2.0,1.3600000000000136,11.01,20.89,29707,Lopez/Murray,"0:1, 15:0"
7,8,Lopez,Lopez,net,2.0,1.3999999999999773,8.85,13.17,31215,Lopez/Murray,"0:1, 30:0"
8,9,Lopez,Lopez,out,2.0,1.2799999999999727,4.85,25.88,32339,Lopez/Murray,"0:1, 40:0"
10,11,Lopez,Murray,winner,3.0,1.400000000000034,2.25,11.13,33713,Lopez/Murray,"1:1, 0:0"
11,12,Cabal,Cabal,net,2.0,1.400000000000091,4.24,13.73,35433,Cabal/Farah,"1:1, 0:15"
12,13,Cabal,Cabal,net,2.0,1.4400000000000546,5.91,17.29,36544,Cabal/Farah,"1:1, 0:30"
13,14,Cabal,Lopez,net,5.0,1.8399999999999181,6.49,16.82,37577,Lopez/Murray,"1:1, 15:30"
15,16,Cabal,Cabal,net,2.0,1.5599999999999454,8.47,14.09,39474,Cabal/Farah,"1:1, 15:40"
16,17,Cabal,Cabal,out,2.0,1.2799999999999727,6.61,-0.18,40675,Cabal/Farah,"1:2, 0:0"
17,18,Murray,Murray,out,2.0,1.7200000000000273,-1.99,24.63,45340,Lopez/Murray,"1:2, 15:0"
19,20,Murray,Murray,out,2.0,1.919999999999959,4.07,0.24,47104,Lopez/Murray,"1:2, 30:0"
20,21,Murray,Murray,out,2.0,1.5199999999999818,11.68,6.73,48264,Lopez/Murray,"1:2, 40:0"
21,22,Murray,Farah,winner,2.0,1.2799999999999727,9.24,4.22,49410,Cabal/Farah,"1:2, 40:15"
23,24,Murray,Farah,winner,4.0,4.639999999999873,5.86,1.6,51204,Cabal/Farah,"1:2, 40:30"
25,26,Murray,Murray,out,2.0,1.9600000000000364,11.74,0.25,53300,Lopez/Murray,"2:2, 0:0"
27,28,Farah,Farah,net,2.0,1.6399999999998727,3.91,11.86,56024,Cabal/Farah,"2:2, 0:15"
28,29,Farah,Farah,ace,1.0,0.0,6.52,6.12,57111,Cabal/Farah,"2:2, 0:30"
29,30,Farah,Lopez,net,5.0,9.11999999999989,1.52,14.08,59401,Lopez/Murray,"2:2, 15:30"
30,31,Farah,Farah,net,2.0,1.4800000000000182,10.62,15.38,60774,Cabal/Farah,"2:2, 15:40"
31,32,Farah,Farah,out,2.0,1.3999999999998636,7.07,-0.02,61694,Cabal/Farah,"2:3, 0:0"
33,34,Lopez,Murray,winner,11.0,1.4800000000000182,9.82,5.41,67311,Lopez/Murray,"2:3, 15:0"
34,35,Lopez,Lopez,ace,1.0,0.0,2.47,9.09,68424,Lopez/Murray,"2:3, 30:0"
35,36,Lopez,Murray,winner,3.0,2.880000000000109,8.15,10.41,69280,Lopez/Murray,"2:3, 40:0"
36,37,Lopez,Lopez,ace,1.0,0.0,6.18,8.33,70287,Lopez/Murray,"3:3, 0:0"
39,40,Farah,Cabal,net,5.0,-6.080000000000155,4.86,13.33,72792,Cabal/Farah,"3:3, 0:15"
41,42,Cabal,Cabal,net,4.0,3.119999999999891,8.03,13.31,74637,Cabal/Farah,"3:3, 0:30"
42,43,Cabal,Farah,winner,7.0,1.3999999990001015,5.91,18.49,76326,Cabal/Farah,"3:3, 0:40"
44,45,Cabal,Cabal,net,2.0,1.5199999999999818,6.31,13.51,78193,Cabal/Farah,"3:4, 0:0"
46,47,Murray,Murray,out,2.0,2.0,11.08,5.6,83358,Lopez/Murray,"3:4, 15:0"
47,48,Murray,Lopez,winner,4.0,38.399999999999636,5.67,15.28,85493,Lopez/Murray,"3:4, 30:0"
49,50,Murray,Farah,net,5.0,1.8399999999996908,6.19,12.45,87377,Cabal/Farah,"3:4, 30:15"
51,52,Murray,Murray,out,4.0,2.0,2.21,-1.31,89553,Lopez/Murray,"3:4, 40:15"
53,54,Murray,Murray,net,6.0,10.799999999999727,7.45,13.57,91666,Lopez/Murray,"4:4, 0:0"
54,55,Farah,Cabal,winner,3.0,2.6400000000003274,5.33,4.97,93598,Cabal/Farah,"4:4, 0:15"
55,56,Farah,Farah,ace,1.0,0.0,2.94,7.19,94687,Cabal/Farah,"4:4, 0:30"
56,57,Farah,Farah,out,4.0,3.7599999999997635,10.39,22.63,95802,Cabal/Farah,"4:4, 0:40"
58,59,Farah,Cabal,winner,3.0,2.519999999999982,8.42,7.02,97659,Cabal/Farah,"4:5, 0:0"
59,60,Lopez,Lopez,winner,3.0,1.4400000000000546,7.38,4.76,103244,Lopez/Murray,"4:5, 15:0"
61,62,Lopez,Lopez,winner,1.0,0.0,0.62,0.84,104629,Lopez/Murray,"4:5, 30:0"
62,63,Lopez,Farah,net,5.0,1.599999999999909,4.43,12.58,105865,Cabal/Farah,"4:5, 30:15"
63,64,Lopez,Cabal,winner,4.0,1.599999999999909,7.47,18.81,107241,Cabal/Farah,"4:5, 30:30"
64,65,Lopez,Lopez,net,8.0,2.8400000000001455,5.14,13.39,108573,Lopez/Murray,"4:5, 40:30"
66,67,Lopez,Lopez,out,2.0,1.2799999999997453,13.8,18.17,110147,Lopez/Murray,"5:5, 0:0"
67,68,Cabal,Cabal,net,2.0,1.5199999999999818,0.29,13.05,111850,Cabal/Farah,"5:5, 0:15"
68,69,Cabal,Farah,winner,3.0,1.400000000000091,4.41,14.05,112770,Cabal/Farah,"5:5, 0:30"
69,70,Cabal,Cabal,out,2.0,1.319999999999709,7.84,-0.95,113755,Cabal/Farah,"5:5, 0:40"
70,71,Cabal,Farah,winner,3.0,1.0,7.18,16.51,114719,Cabal/Farah,"5:6, 0:0"
71,72,Murray,Murray,winner,1.0,0.0,-3.19,21.5,120257,Lopez/Murray,"5:6, 15:0"
72,73,Murray,Lopez,winner,3.0,1.4800000000000182,13.18,28.17,121333,Lopez/Murray,"5:6, 30:0"
73,74,Murray,Cabal,net,3.0,1.2799999999997453,4.84,13.02,122369,Cabal/Farah,"5:6, 30:15"
74,75,Murray,Murray,out,4.0,3.919999999999618,11.54,0.98,123796,Lopez/Murray,"5:6, 40:15"
75,76,Murray,Lopez,winner,3.0,4.519999999999527,2.47,20.61,124934,Lopez/Murray,"6:6, 0:0"
77,78,Farah,Lopez,net,3.0,1.680000000000291,4.1,12.92,127823,Lopez/Murray,"6:6, 1:0"
79,80,Lopez,Lopez,net,2.0,1.5199999989999924,3.12,14.95,129772,Lopez/Murray,"6:6, 2:0"
82,83,Lopez,Murray,winner,3.0,1.5599999999994907,1.8,19.21,132407,Lopez/Murray,"6:6, 3:0"
83,84,Cabal,Cabal,net,2.0,1.3999999999996362,4.89,12.09,133965,Cabal/Farah,"6:6, 3:1"
84,85,Cabal,Farah,winner,3.0,2.360000000000582,4.25,8.15,135150,Cabal/Farah,"6:6, 3:2"
85,86,Murray,Farah,out,3.0,2.9200000000000728,-1.57,21.87,136917,Cabal/Farah,"6:6, 3:3"
87,88,Murray,Cabal,net,3.0,3.519999999999527,1.28,13.11,140668,Cabal/Farah,"6:6, 3:4"
89,90,Farah,Murray,out,3.0,3.119999999999891,6.48,26.44,143510,Lopez/Murray,"6:6, 4:4"
158,92,,Lopez,winner,,,2.65,4.56,145095,Lopez/Murray,"6:6, 5:4"
92,94,Lopez,Cabal,winner,10.0,3.7200000000002547,7.7,23.47,147555,Cabal/Farah,"6:6, 5:5"
93,95,Lopez,Murray,winner,3.0,1.319999999999709,4.91,6.82,149150,Lopez/Murray,"6:6, 6:5"
159,97,,Murray,winner,,,1.35,2.32,151159,Lopez/Murray,"7:6 0:0, 0:0"
96,99,Lopez,Cabal,net,3.0,1.4799999999995634,4.5,14.59,158728,Cabal/Farah,"7:6 0:0, 0:15"
97,100,Lopez,Lopez,out,4.0,6.680000000000291,5.27,-0.15,159869,Lopez/Murray,"7:6 0:0, 15:15"
98,101,Lopez,Lopez,out,2.0,1.4000000000005457,13.23,6.98,160817,Lopez/Murray,"7:6 0:0, 30:15"
100,103,Lopez,Lopez,out,2.0,1.5600000000004002,-1.32,5.72,161947,Lopez/Murray,"7:6 0:0, 40:15"
101,104,Lopez,Murray,winner,9.0,16.520000000000437,1.71,20.71,163324,Lopez/Murray,"7:6 1:0, 0:0"
103,106,Cabal,Cabal,out,2.0,1.5999999999994543,0.61,0.15,166710,Cabal/Farah,"7:6 1:0, 0:15"
104,107,Cabal,Farah,winner,3.0,2.519999999999527,1.38,17.25,167779,Cabal/Farah,"7:6 1:0, 0:30"
105,108,Cabal,Farah,winner,4.0,1.8799999999991996,10.02,26.99,168744,Cabal/Farah,"7:6 1:0, 0:40"
106,109,Cabal,Murray,winner,2.0,1.3999999999996362,9.41,4.41,169744,Lopez/Murray,"7:6 1:0, 15:40"
108,111,Cabal,Farah,winner,3.0,2.7600000000002183,6.71,16.74,171425,Cabal/Farah,"7:6 1:1, 0:0"
111,114,Lopez,Cabal,net,3.0,-3.839999999999236,3.22,14.06,173971,Cabal/Farah,"7:6 1:1, 0:15"
113,116,Murray,Lopez,winner,3.0,1.639999999999418,8.27,6.93,176078,Lopez/Murray,"7:6 1:1, 15:15"
114,117,Murray,Murray,winner,3.0,3.199999999999818,0.06,5.92,177437,Lopez/Murray,"7:6 1:1, 30:15"
115,118,Murray,Murray,out,2.0,1.4399999999995998,12.63,26.72,178716,Lopez/Murray,"7:6 1:1, 40:15"
116,119,Murray,Murray,out,2.0,1.360000000000582,-1.32,19.07,179730,Lopez/Murray,"7:6 2:1, 0:0"
117,120,Farah,Lopez,winner,2.0,1.3599999999996726,-0.15,20.91,185558,Lopez/Murray,"7:6 2:1, 15:0"
119,122,Farah,Farah,net,4.0,4.520000000000437,5.26,18.83,187565,Cabal/Farah,"7:6 2:1, 15:15"
120,123,Farah,Lopez,winner,2.0,1.3200000000006185,9.65,30.15,188920,Lopez/Murray,"7:6 2:1, 30:15"
121,124,Farah,Farah,ace,1.0,0.0,1.65,9.2,190295,Cabal/Farah,"7:6 2:1, 30:30"
122,125,Farah,Lopez,net,3.0,2.160000000000764,9.87,15.89,191663,Lopez/Murray,"7:6 2:1, 40:30"
123,126,Farah,Farah,net,2.0,1.5200000000004366,-0.79,17.82,193016,Cabal/Farah,"7:6 2:1, 40:40"
124,127,Farah,Cabal,winner,9.0,1.3999999999996362,5.35,2.45,195206,Cabal/Farah,"7:6 2:2, 0:0"
125,128,Lopez,Lopez,winner,3.0,4.6799999999993815,9.8,25.24,197311,Lopez/Murray,"7:6 2:2, 15:0"
126,129,Lopez,Farah,net,3.0,2.7600000000002183,5.64,16.21,198253,Cabal/Farah,"7:6 2:2, 15:15"
127,130,Lopez,Lopez,out,2.0,1.3999999999996362,9.53,-0.38,199170,Lopez/Murray,"7:6 2:2, 30:15"
128,131,Lopez,Murray,winner,3.0,3.7600000000002183,9.98,18.86,200006,Lopez/Murray,"7:6 2:2, 40:15"
130,133,Lopez,Murray,winner,5.0,4.399999999999636,10.23,20.24,201579,Lopez/Murray,"7:6 3:2, 0:0"
131,134,Cabal,Murray,net,5.0,1.680000000000291,7.32,16.16,206922,Lopez/Murray,"7:6 3:2, 15:0"
133,136,Cabal,Murray,winner,2.0,1.4799999999995634,10.22,0.94,208983,Lopez/Murray,"7:6 3:2, 30:0"
134,137,Cabal,Lopez,out,3.0,1.4399999999995998,4.51,26.13,210181,Lopez/Murray,"7:6 3:2, 40:0"
135,138,Cabal,Murray,winner,2.0,1.5200000000004366,10.69,2.43,211617,Lopez/Murray,"7:6 4:2, 0:0"
136,139,Murray,Cabal,net,3.0,3.0,1.45,14.87,213353,Cabal/Farah,"7:6 4:2, 0:15"
137,140,Murray,Farah,net,3.0,3.3200000000006185,8.66,19.61,214911,Cabal/Farah,"7:6 4:2, 0:30"
138,141,Murray,Lopez,out,4.0,5.3200000000006185,11.61,25.85,216456,Lopez/Murray,"7:6 4:2, 15:30"
139,142,Murray,Murray,ace,1.0,0.0,1.85,7.45,218517,Lopez/Murray,"7:6 4:2, 30:30"
141,144,Murray,Lopez,out,10.0,14.479999999999563,2.85,26.26,221021,Lopez/Murray,"7:6 4:2, 40:30"
142,145,Murray,Cabal,winner,4.0,3.119999999999891,6.31,19.52,223546,Cabal/Farah,"7:6 4:2, 40:40"
144,147,Murray,Murray,out,2.0,1.680000000000291,1.7,24.06,225758,Lopez/Murray,"7:6 5:2, 0:0"
145,148,Farah,Farah,net,2.0,1.360000000000582,9.38,15.4,231284,Cabal/Farah,"7:6 5:2, 0:15"
148,151,Farah,Farah,winner,5.0,1.2800000000006548,6.04,5.04,234180,Cabal/Farah,"7:6 5:2, 0:30"
149,152,Farah,Farah,net,4.0,1.6799999989998469,10.02,17.89,235281,Cabal/Farah,"7:6 5:2, 0:40"
150,153,Farah,Cabal,winner,3.0,2.4799999999995634,9.37,10.91,236415,Cabal/Farah,"7:6 5:3, 0:0"
152,155,Lopez,Cabal,winner,4.0,6.440000000000509,5.5,7.04,238658,Cabal/Farah,"7:6 5:3, 0:15"
153,156,Lopez,Murray,winner,7.0,7.8400000000001455,8.46,17.27,240393,Lopez/Murray,"7:6 5:3, 15:15"
154,157,Lopez,Lopez,ace,1.0,0.0,1.6,17.81,242014,Lopez/Murray,"7:6 5:3, 30:15"
156,159,Lopez,Lopez,out,2.0,1.1599999999998545,8.48,-0.23,244126,Lopez/Murray,"7:6 5:3, 40:15"
157,160,Lopez,Lopez,net,2.0,1.360000000000582,5.15,15.37,245374,Lopez/Murray,"7:6 6:3, 0:0"
